Acura|CL|Купе|2000|2.3 i|Acura/CL/2000/Coupe_2.3 i/#ds
Acura|CL|Купе|2000|3.0 i|Acura/CL/2000/Coupe_3.0 i/#ds
Acura|CL|Купе|2001|2.3 i|Acura/CL/2001/Coupe_2.3 i/#ds
Acura|CL|Купе|2001|3.0 i|Acura/CL/2001/Coupe_3.0 i/#ds
Acura|CL|Купе|2001|3.2 i|Acura/CL/2001/Coupe_3.2 i/#ds
Acura|CL|Купе|2001|3.2 i Type S|Acura/CL/2001/Coupe_3.2 i Type S/#ds
Acura|CL|Купе|2002|3.2 i|Acura/CL/2002/Coupe_3.2 i/#ds
Acura|CL|Купе|2002|3.2 i Type S|Acura/CL/2002/Coupe_3.2 i Type S/#ds
Acura|CL|Купе|2003|3.2 i Type S|Acura/CL/2003/Coupe_3.2 i Type S/#ds
Acura|CSX|Седан|2007-2013|2.0i|Acura/CSX/2007-2013/Sedan_2.0i/#ds
Acura|EL|Седан|2000|1.6 i|Acura/EL/2000/Sedan_1.6 i/#ds
Acura|EL|Седан|2001|1.6 i|Acura/EL/2001/Sedan_1.6 i/#ds
Acura|EL|Седан|2002|1.6 i|Acura/EL/2002/Sedan_1.6 i/#ds
Acura|EL|Седан|2003|1.6 i|Acura/EL/2003/Sedan_1.6 i/#ds
Acura|EL|Седан|2004|1.6 i|Acura/EL/2004/Sedan_1.6 i/#ds
Acura|Integra|Купе|2000|1.8 Type R|Acura/Integra/2000/Coupe_1.8 Type R/#ds
Acura|Integra|Купе|2001|1.8 Type R|Acura/Integra/2001/Coupe_1.8 Type R/#ds
Acura|Integra|Купе|2001|1.8i|Acura/Integra/2001/Coupe_1.8i/#ds
Acura|MDX|Кроссовер|2001|3.5 i|Acura/MDX/2001/Cross_3.5 i/#ds
Acura|MDX|Кроссовер|2002|3.5 i|Acura/MDX/2002/Cross_3.5 i/#ds
Acura|MDX|Кроссовер|2003|3.5 i|Acura/MDX/2003/Cross_3.5 i/#ds
Acura|MDX|Кроссовер|2004|3.5 i|Acura/MDX/2004/Cross_3.5 i/#ds
Acura|MDX|Кроссовер|2005|3.5 i|Acura/MDX/2005/Cross_3.5 i/#ds
Acura|MDX|Кроссовер|2006|3.5 i|Acura/MDX/2006/Cross_3.5 i/#ds
Acura|MDX|Кроссовер|2007|3.7i|Acura/MDX/2007/Cross_3.7i/#ds
Acura|MDX|Кроссовер|2008|3.7i|Acura/MDX/2008/Cross_3.7i/#ds
Acura|MDX|Кроссовер|2009|3.7i|Acura/MDX/2009/Cross_3.7i/#ds
Acura|MDX|Кроссовер|2010|3.7i|Acura/MDX/2010/Cross_3.7i/#ds
Acura|MDX|Кроссовер|2011|3.7i|Acura/MDX/2011/Cross_3.7i/#ds
Acura|MDX|Кроссовер|2012|3.7i|Acura/MDX/2012/Cross_3.7i/#ds
Acura|MDX|Кроссовер|2013|3.7i|Acura/MDX/2013/Cross_3.7i/#ds
Acura|MDX|Кроссовер|2014|3.5|Acura/MDX/2014/Cross_3.5/#ds
